2026-05-19 23:42:50 status half-installed gpgsm:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 status unpacked gpgsm:amd64 2.4.7-21+deb13u1+b3
2026-05-19 23:42:50 install gnupg:all <none> 2.4.7-21+deb13u1
2026-05-19 23:42:50 status half-installed gnupg:all 2.4.7-21+deb13u1
2026-05-19 23:42:50 status unpacked gnupg:all 2.4.7-21+deb13u1
2026-05-19 23:42:50 install libbluetooth3:amd64 <none> 5.82-1.1
2026-05-19 23:42:50 status half-installed libbluetooth3:amd64 5.82-1.1
2026-05-19 23:42:50 status unpacked libbluetooth3:amd64 5.82-1.1
2026-05-19 23:42:50 install libc-dev-bin:amd64 <none> 2.41-12+deb13u3
2026-05-19 23:42:50 status half-installed libc-dev-bin:amd64 2.41-12+deb13u3
2026-05-19 23:42:50 status unpacked libc-dev-bin:amd64 2.41-12+deb13u3
2026-05-19 23:42:50 install linux-libc-dev:all <none> 6.12.88-1
2026-05-19 23:42:50 status half-installed linux-libc-dev:all 6.12.88-1
2026-05-19 23:42:50 status unpacked linux-libc-dev:all 6.12.88-1
2026-05-19 23:42:50 install libcrypt-dev:amd64 <none> 1:4.4.38-1
2026-05-19 23:42:50 status half-installed libcrypt-dev:amd64 1:4.4.38-1
2026-05-19 23:42:50 status unpacked libcrypt-dev:amd64 1:4.4.38-1
2026-05-19 23:42:50 install rpcsvc-proto:amd64 <none> 1.4.3-1
2026-05-19 23:42:50 status half-installed rpcsvc-proto:amd64 1.4.3-1
2026-05-19 23:42:50 status unpacked rpcsvc-proto:amd64 1.4.3-1
2026-05-19 23:42:50 install libc6-dev:amd64 <none> 2.41-12+deb13u3
2026-05-19 23:42:50 status half-installed libc6-dev:amd64 2.41-12+deb13u3
2026-05-19 23:42:50 status unpacked libc6-dev:amd64 2.41-12+deb13u3
2026-05-19 23:42:50 install libbluetooth-dev:amd64 <none> 5.82-1.1
2026-05-19 23:42:50 status half-installed libbluetooth-dev:amd64 5.82-1.1
2026-05-19 23:42:50 status unpacked libbluetooth-dev:amd64 5.82-1.1
2026-05-19 23:42:50 install libbrotli1:amd64 <none> 1.1.0-2+b7
2026-05-19 23:42:50 status half-installed libbrotli1:amd64 1.1.0-2+b7
