2026-05-08 19:45:49 status unpacked libkrb5support0:amd64 1.21.3-5
2026-05-08 19:45:49 status half-configured libkrb5support0:amd64 1.21.3-5
2026-05-08 19:45:49 status installed libkrb5support0:amd64 1.21.3-5
2026-05-08 19:45:49 configure libsasl2-modules-db:amd64 2.1.28+dfsg1-9 <none>
2026-05-08 19:45:49 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:49 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:49 status installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:49 configure gnupg-l10n:all 2.4.7-21+deb13u1 <none>
2026-05-08 19:45:49 status unpacked gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 status half-configured gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 status installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-05-08 19:45:49 configure xz-utils:amd64 5.8.1-1 <none>
2026-05-08 19:45:49 status unpacked xz-utils:amd64 5.8.1-1
2026-05-08 19:45:49 status half-configured xz-utils:amd64 5.8.1-1
2026-05-08 19:45:49 status installed xz-utils:amd64 5.8.1-1
2026-05-08 19:45:49 configure libunistring5:amd64 1.3-2 <none>
2026-05-08 19:45:49 status unpacked libunistring5:amd64 1.3-2
2026-05-08 19:45:49 status half-configured libunistring5:amd64 1.3-2
2026-05-08 19:45:49 status installed libunistring5:amd64 1.3-2
2026-05-08 19:45:49 configure libatomic1:amd64 14.2.0-19 <none>
2026-05-08 19:45:49 status unpacked libatomic1:amd64 14.2.0-19
2026-05-08 19:45:49 status half-configured libatomic1:amd64 14.2.0-19
2026-05-08 19:45:49 status installed libatomic1:amd64 14.2.0-19
2026-05-08 19:45:49 configure libncursesw6:amd64 6.5+20250216-2 <none>
2026-05-08 19:45:49 status unpacked libncursesw6:amd64 6.5+20250216-2
2026-05-08 19:45:49 status half-configured libncursesw6:amd64 6.5+20250216-2
2026-05-08 19:45:49 status installed libncursesw6:amd64 6.5+20250216-2
2026-05-08 19:45:49 configure libk5crypto3:amd64 1.21.3-5 <none>
2026-05-08 19:45:49 status unpacked libk5crypto3:amd64 1.21.3-5
2026-05-08 19:45:49 status half-configured libk5crypto3:amd64 1.21.3-5
2026-05-08 19:45:49 status installed libk5crypto3:amd64 1.21.3-5
2026-05-08 19:45:49 configure libsasl2-2:amd64 2.1.28+dfsg1-9 <none>
2026-05-08 19:45:49 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:49 status half-configured libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:49 status installed libsasl2-2:amd64 2.1.28+dfsg1-9
2026-05-08 19:45:49 configure libnghttp3-9:amd64 1.8.0-1 <none>
2026-05-08 19:45:49 status unpacked libnghttp3-9:amd64 1.8.0-1
2026-05-08 19:45:49 status half-configured libnghttp3-9:amd64 1.8.0-1
2026-05-08 19:45:49 status installed libnghttp3-9:amd64 1.8.0-1
2026-05-08 19:45:49 configure libffi8:amd64 3.4.8-2 <none>
2026-05-08 19:45:49 status unpacked libffi8:amd64 3.4.8-2
2026-05-08 19:45:49 status half-configured libffi8:amd64 3.4.8-2
2026-05-08 19:45:49 status installed libffi8:amd64 3.4.8-2
2026-05-08 19:45:49 configure libassuan9:amd64 3.0.2-2 <none>
2026-05-08 19:45:49 status unpacked libassuan9:amd64 3.0.2-2
2026-05-08 19:45:49 status half-configured libassuan9:amd64 3.0.2-2
2026-05-08 19:45:49 status installed libassuan9:amd64 3.0.2-2
2026-05-08 19:45:49 configure libtasn1-6:amd64 4.20.0-2 <none>
2026-05-08 19:45:49 status unpacked libtasn1-6:amd64 4.20.0-2
2026-05-08 19:45:49 status half-configured libtasn1-6:amd64 4.20.0-2
2026-05-08 19:45:49 status installed libtasn1-6:amd64 4.20.0-2
2026-05-08 19:45:49 configure libkrb5-3:amd64 1.21.3-5 <none>
2026-05-08 19:45:49 status unpacked libkrb5-3:amd64 1.21.3-5
2026-05-08 19:45:49 status half-configured libkrb5-3:amd64 1.21.3-5
2026-05-08 19:45:49 status installed libkrb5-3:amd64 1.21.3-5
2026-05-08 19:45:49 configure libssh2-1t64:amd64 1.11.1-1 <none>
2026-05-08 19:45:49 status unpacked libssh2-1t64:amd64 1.11.1-1
2026-05-08 19:45:49 status half-configured libssh2-1t64:amd64 1.11.1-1
2026-05-08 19:45:49 status installed libssh2-1t64:amd64 1.11.1-1
2026-05-08 19:45:49 configure openssl:amd64 3.5.5-1~deb13u2 <none>
2026-05-08 19:45:49 status unpacked openssl:amd64 3.5.5-1~deb13u2
2026-05-08 19:45:49 status half-configured openssl:amd64 3.5.5-1~deb13u2
2026-05-08 19:45:49 status installed openssl:amd64 3.5.5-1~deb13u2
2026-05-08 19:45:49 configure readline-common:all 8.2-6 <none>
2026-05-08 19:45:49 status unpacked readline-common:all 8.2-6
2026-05-08 19:45:49 status half-configured readline-common:all 8.2-6
2026-05-08 19:45:49 status installed readline-common:all 8.2-6
2026-05-08 19:45:49 configure libldap2:amd64 2.6.10+dfsg-1 <none>
2026-05-08 19:45:49 status unpacked libldap2:amd64 2.6.10+dfsg-1
2026-05-08 19:45:49 status half-configured libldap2:amd64 2.6.10+dfsg-1
2026-05-08 19:45:49 status installed libldap2:amd64 2.6.10+dfsg-1
2026-05-08 19:45:49 configure libksba8:amd64 1.6.7-2+b1 <none>
2026-05-08 19:45:49 status unpacked libksba8:amd64 1.6.7-2+b1
2026-05-08 19:45:49 status half-configured libksba8:amd64 1.6.7-2+b1
2026-05-08 19:45:50 status installed libksba8:amd64 1.6.7-2+b1
2026-05-08 19:45:50 configure pinentry-curses:amd64 1.3.1-2 <none>
2026-05-08 19:45:50 status unpacked pinentry-curses:amd64 1.3.1-2
2026-05-08 19:45:50 status half-configured pinentry-curses:amd64 1.3.1-2
2026-05-08 19:45:50 status installed pinentry-curses:amd64 1.3.1-2
2026-05-08 19:45:50 configure libidn2-0:amd64 2.3.8-2 <none>
2026-05-08 19:45:50 status unpacked libidn2-0:amd64 2.3.8-2
2026-05-08 19:45:50 status half-configured libidn2-0:amd64 2.3.8-2
2026-05-08 19:45:50 status installed libidn2-0:amd64 2.3.8-2
2026-05-08 19:45:50 configure ca-certificates:all 20250419 <none>
2026-05-08 19:45:50 status unpacked ca-certificates:all 20250419
2026-05-08 19:45:50 status half-configured ca-certificates:all 20250419
2026-05-08 19:45:50 status installed ca-certificates:all 20250419
2026-05-08 19:45:50 status triggers-pending ca-certificates:all 20250419
2026-05-08 19:45:50 configure libp11-kit0:amd64 0.25.5-3 <none>
2026-05-08 19:45:50 status unpacked libp11-kit0:amd64 0.25.5-3
2026-05-08 19:45:50 status half-configured libp11-kit0:amd64 0.25.5-3
2026-05-08 19:45:50 status installed libp11-kit0:amd64 0.25.5-3
2026-05-08 19:45:50 configure libgssapi-krb5-2:amd64 1.21.3-5 <none>
2026-05-08 19:45:50 status unpacked libgssapi-krb5-2:amd64 1.21.3-5
2026-05-08 19:45:50 status half-configured libgssapi-krb5-2:amd64 1.21.3-5
2026-05-08 19:45:50 status installed libgssapi-krb5-2:amd64 1.21.3-5
2026-05-08 19:45:50 configure libreadline8t64:amd64 8.2-6 <none>
2026-05-08 19:45:50 status unpacked libreadline8t64:amd64 8.2-6
2026-05-08 19:45:50 status half-configured libreadline8t64:amd64 8.2-6
2026-05-08 19:45:50 status installed libreadline8t64:amd64 8.2-6
2026-05-08 19:45:50 configure gpgconf:amd64 2.4.7-21+deb13u1+b2 <none>
2026-05-08 19:45:50 status unpacked gpgconf:amd64 2.4.7-21+deb13u1+b2
